model_rank,espn_rank,player_name,predicted_ppr_2024,position,player,actual_ppr_2024,actual_rank_2024,model_rank_error,espn_rank_error
1,38,Jalen Hurts,307.4126370340009,QB,Jalen Hurts,315.1,15,14,23
2,49,Lamar Jackson,286.546747321069,QB,Lamar Jackson,430.4,1,1,48
3,50,Patrick Mahomes,283.0363085520977,QB,Patrick Mahomes,283.0,22,19,28
4,14,Jahmyr Gibbs,276.20457463759084,RB,Jahmyr Gibbs,362.9,6,2,8
5,35,Josh Allen,274.5295551004578,QB,Josh Allen,379.0,3,2,32
6,59,C.J. Stroud,268.2501391444748,QB,C.J. Stroud,220.4,57,51,2
7,6,Amon-Ra St. Brown,263.67188852477443,WR,Amon-Ra St. Brown,316.2,14,7,8
8,61,Dak Prescott,259.5619110821481,QB,Dak Prescott,116.5,160,152,99
9,134,Trevor Lawrence,258.06939431711254,QB,Trevor Lawrence,145.2,118,109,16
10,93,Brock Purdy,253.35741539545907,QB,Brock Purdy,266.9,27,17,66
11,119,Justin Herbert,252.7550704560812,QB,Justin Herbert,285.4,20,9,99
12,41,De'Von Achane,251.0752676737231,RB,De'Von Achane,299.9,17,5,24
13,4,CeeDee Lamb,243.4567944889673,WR,CeeDee Lamb,263.4,31,18,27
14,164,Jared Goff,242.25040789011476,QB,Jared Goff,324.5,11,3,153
15,198,Bryce Young,239.8405406552791,QB,Bryce Young,195.0,78,63,120
16,2,Bijan Robinson,237.30312192837857,RB,Bijan Robinson,341.7,9,7,7
17,12,Puka Nacua,236.1025539008855,WR,Puka Nacua,206.6,68,51,56
18,92,Jordan Love,235.79366661392783,QB,Jordan Love,233.9,53,35,39
19,8,Justin Jefferson,235.70168366571235,WR,Justin Jefferson,317.5,12,7,4
20,69,Keenan Allen,230.34612992442868,WR,Keenan Allen,184.4,85,65,16
21,3,Breece Hall,226.9586205851789,RB,Breece Hall,240.9,46,25,43
22,163,Tua Tagovailoa,221.5553146875431,QB,Tua Tagovailoa,181.6,90,68,73
23,5,Tyreek Hill,218.1950294001295,WR,Tyreek Hill,218.2,58,35,53
24,60,Joe Burrow,217.9522967146301,QB,Joe Burrow,372.8,4,20,56
25,30,Josh Jacobs,214.51956286928888,RB,Josh Jacobs,293.1,19,6,11
26,11,A.J. Brown,214.48374658963945,WR,A.J. Brown,216.9,60,34,49
27,39,Joe Mixon,211.7049594933451,RB,Joe Mixon,240.5,48,21,9
28,36,Sam LaPorta,211.57010102969443,TE,Sam LaPorta,174.6,99,71,63
29,42,Stefon Diggs,211.42082888610597,WR,Stefon Diggs,121.9,150,121,108
30,37,Travis Kelce,210.8571888484549,TE,Travis Kelce,195.4,77,47,40
31,7,Ja'Marr Chase,208.66328375841877,WR,Ja'Marr Chase,403.0,2,29,5
32,84,Jordan Addison,207.93732952861936,WR,Jordan Addison,212.5,63,31,21
33,9,Jonathan Taylor,207.5174342070008,RB,Jonathan Taylor,244.7,40,7,31
34,26,Nico Collins,207.0300145821701,WR,Nico Collins,210.6,65,31,39
35,120,Kirk Cousins,206.7150891917152,QB,Kirk Cousins,176.3,94,59,26
36,24,Derrick Henry,205.99238984057925,RB,Derrick Henry,336.4,10,26,14
37,83,Jayden Reed,205.5744295013406,WR,Jayden Reed,197.0,75,38,8
38,21,Davante Adams,204.152291517894,WR,Davante Adams,241.3,44,6,23
39,15,Kyren Williams,203.9827142378244,RB,Kyren Williams,272.1,25,14,10
40,34,D.J. Moore,201.02049216545169,WR,D.J. Moore,238.1,51,11,17
41,43,DeVonta Smith,199.1446349699949,WR,DeVonta Smith,199.4,72,31,29
42,33,Brandon Aiyuk,195.7172826166237,WR,Brandon Aiyuk,62.4,246,204,213
43,19,Michael Pittman Jr.,192.84785627710255,WR,Michael Pittman Jr.,165.8,102,59,83
44,25,Rachaad White,192.3814413342701,RB,Rachaad White,199.6,71,27,46
45,89,Austin Ekeler,191.94684307827035,RB,Austin Ekeler,132.3,131,86,42
46,197,Matthew Stafford,191.0423870568588,QB,Matthew Stafford,214.6,61,15,136
47,1,Christian McCaffrey,190.009389341596,RB,Christian McCaffrey,47.8,275,228,274
48,268,Derek Carr,188.4691605562702,QB,Derek Carr,150.9,112,64,156
49,48,Rashee Rice,187.3523188465244,WR,Rashee Rice,64.9,237,188,189
50,18,Chris Olave,184.65993886195017,WR,Chris Olave,76.7,223,173,205
51,102,Raheem Mostert,184.4640562579293,RB,Raheem Mostert,70.9,227,176,125
52,13,Garrett Wilson,183.7404689018894,WR,Garrett Wilson,251.9,38,14,25
53,47,Zay Flowers,182.9505981247984,WR,Zay Flowers,209.5,67,14,20
54,80,David Montgomery,181.92956476145017,RB,David Montgomery,221.7,56,2,24
55,10,Saquon Barkley,181.5097037698063,RB,Saquon Barkley,355.3,8,47,2
56,53,George Pickens,181.40544827437543,WR,George Pickens,164.4,103,47,50
57,109,Tyler Lockett,181.1967944649929,WR,Tyler Lockett,121.0,152,95,43
58,20,Mike Evans,181.11023416754307,WR,Mike Evans,240.4,49,9,29
59,44,Jaylen Waddle,180.8042805666685,WR,Jaylen Waddle,149.6,113,54,69
60,54,Chris Godwin,178.0092742759471,WR,Chris Godwin,137.8,125,65,71
61,67,Amari Cooper,177.40386678734214,WR,Amari Cooper,122.7,148,87,81
62,91,Kyler Murray,177.00287193109995,QB,Kyler Murray,297.2,18,44,73
63,112,T.J. Hockenson,171.41357990404182,TE,T.J. Hockenson,86.5,208,145,96
64,71,Christian Kirk,171.0371400687804,WR,Christian Kirk,70.9,226,162,155
65,267,Russell Wilson,170.95277798885286,QB,Russell Wilson,172.8,100,35,167
66,218,Baker Mayfield,170.42489910377537,QB,Baker Mayfield,365.8,5,61,213
67,78,Najee Harris,160.9436356381445,RB,Najee Harris,204.6,69,2,9
68,73,George Kittle,158.6449024912666,TE,George Kittle,236.6,52,16,21
69,72,Jaxon Smith-Njigba,158.23390201913168,WR,Jaxon Smith-Njigba,253.0,37,32,35
70,199,Daniel Jones,157.46657490976938,QB,Daniel Jones,135.3,129,59,70
71,45,Cooper Kupp,156.74201617574013,WR,Cooper Kupp,175.0,96,25,51
72,138,Adam Thielen,156.35095838832163,WR,Adam Thielen,139.5,124,52,14
73,168,Cole Kmet,156.08143253938658,TE,Cole Kmet,120.4,154,81,14
74,28,Alvin Kamara,155.27345202940688,RB,Alvin Kamara,265.3,30,44,2
75,31,D.K. Metcalf,152.47992501846886,WR,D.K. Metcalf,191.2,81,6,50
76,64,James Conner,152.01958741688668,RB,James Conner,253.8,36,40,28
77,16,Isiah Pacheco,151.54222098024798,RB,Isiah Pacheco,56.9,256,179,240
78,88,Tony Pollard,149.92301244586417,RB,Tony Pollard,200.7,70,8,18
79,219,Geno Smith,149.70735294396547,QB,Geno Smith,266.0,29,50,190
80,150,Romeo Doubs,149.01812456740348,WR,Romeo Doubs,132.1,132,52,18
81,52,Tee Higgins,147.15851843269917,WR,Tee Higgins,222.1,55,26,3
82,63,D'Andre Swift,144.9710860207143,RB,D'Andre Swift,214.5,62,20,1
83,55,Tank Dell,144.42299977699182,WR,Tank Dell,140.0,123,40,68
84,194,Josh Downs,141.87434007257565,WR,Josh Downs,183.5,86,2,108
85,57,Evan Engram,141.8563004689422,TE,Evan Engram,89.5,206,121,149
86,100,David Njoku,140.67635845705587,TE,David Njoku,148.5,114,28,14
87,46,Calvin Ridley,140.5335559578881,WR,Calvin Ridley,199.2,73,14,27
88,82,Courtland Sutton,139.5223359866905,WR,Courtland Sutton,240.3,50,38,32
89,68,Diontae Johnson,139.47904290461224,WR,Diontae Johnson,89.1,207,118,139
90,40,Kenneth Walker III,137.9104888978069,RB,Kenneth Walker III,181.2,91,1,51
91,117,Nick Chubb,137.84207099494913,RB,Nick Chubb,63.3,243,152,126
92,79,Jaylen Warren,136.96007969160908,RB,Jaylen Warren,124.1,144,52,65
93,98,DeAndre Hopkins,134.56711555148317,WR,DeAndre Hopkins,147.0,116,23,18
94,70,Terry McLaurin,133.19401052332535,WR,Terry McLaurin,267.8,26,68,44
95,29,James Cook,131.62972701333007,RB,James Cook,266.7,28,67,1
96,74,Dalton Kincaid,130.12270266655108,TE,Dalton Kincaid,100.8,185,89,111
97,97,Jakobi Meyers,130.1037350761749,WR,Jakobi Meyers,218.0,59,38,38
98,87,Tyjae Spears,129.6542820749548,RB,Tyjae Spears,113.6,164,66,77
99,152,Brandin Cooks,127.829959659704,WR,Brandin Cooks,69.6,228,129,76
100,114,Gus Edwards,126.35147207411627,RB,Gus Edwards,64.1,239,139,125
101,23,Drake London,126.05122395650037,WR,Drake London,280.8,23,78,0
102,232,Trey Palmer,123.48153394941232,WR,Trey Palmer,35.2,305,203,73
103,51,Mark Andrews,122.36092023777816,TE,Mark Andrews,188.8,82,21,31
104,56,Trey McBride,121.46020474673156,TE,Trey McBride,249.8,39,65,17
105,115,Chuba Hubbard,121.31025150881592,RB,Chuba Hubbard,241.6,43,62,72
106,151,Dontayvion Wicks,118.861080072513,WR,Dontayvion Wicks,110.5,168,62,17
107,75,Kyle Pitts,116.67942177889712,TE,Kyle Pitts,131.2,133,26,58
108,136,Dalton Schultz,114.13520234148248,TE,Dalton Schultz,118.2,159,51,23
109,77,Brian Robinson Jr.,113.79489264931485,RB,Brian Robinson Jr.,159.8,107,2,30
110,101,Jake Ferguson,113.60570837726448,TE,Jake Ferguson,104.4,177,67,76
111,65,Aaron Jones,112.83374411396514,RB,Aaron Jones,241.6,42,69,23
112,139,Rashid Shaheed,111.36834638596058,WR,Rashid Shaheed,79.8,218,106,79
113,118,Aaron Rodgers,109.98683720445676,QB,Aaron Rodgers,256.6,33,80,85
114,295,Xavier Gipson,109.8635006402064,WR,Xavier Gipson,14.4,393,279,98
115,122,Tyler Allgeier,107.33742791038652,RB,Tyler Allgeier,106.2,175,60,53
116,76,Javonte Williams,107.15647662103838,RB,Javonte Williams,157.9,108,8,32
117,140,Curtis Samuel,106.62467098813792,WR,Curtis Samuel,63.7,241,124,101
118,203,Tyler Boyd,106.31852830666304,WR,Tyler Boyd,78.3,220,102,17
119,273,Elijah Moore,104.68018615078198,WR,Elijah Moore,120.9,153,34,120
120,124,Jaleel McLaughlin,104.6280915924184,RB,Jaleel McLaughlin,97.2,189,69,65
121,253,Kalif Raymond,102.70347495615128,WR,Kalif Raymond,56.5,258,137,5
122,144,Antonio Gibson,102.42720947059456,RB,Antonio Gibson,103.4,181,59,37
123,104,Ezekiel Elliott,100.83441615824192,RB,Ezekiel Elliott,57.5,254,131,150
124,126,Jameson Williams,100.7577714797755,WR,Jameson Williams,212.2,64,60,62
125,110,Dallas Goedert,100.50473897553994,TE,Dallas Goedert,103.6,180,55,70
126,58,Anthony Richardson,100.35388669297949,QB,Anthony Richardson,163.4,104,22,46
127,133,Deshaun Watson,97.90263201202256,QB,Deshaun Watson,76.7,224,97,91
128,202,Wan'Dale Robinson,97.49516768107311,WR,Wan'Dale Robinson,182.7,87,41,115
129,137,Tyler Conklin,96.34162720029369,TE,Tyler Conklin,121.9,151,22,14
130,271,Jahan Dotson,95.2975335648546,WR,Jahan Dotson,41.9,289,159,18
131,81,Christian Watson,93.73629727011104,WR,Christian Watson,105.3,176,45,95
132,204,Kendrick Bourne,93.61339661429078,WR,Kendrick Bourne,65.1,236,104,32
133,230,Quentin Johnston,93.09816256448606,WR,Quentin Johnston,174.7,97,36,133
134,90,Devin Singletary,92.1079030491627,RB,Devin Singletary,96.6,191,57,101
135,62,Rhamondre Stevenson,92.0278454544462,RB,Rhamondre Stevenson,175.9,95,40,33
136,125,Jerry Jeudy,91.73314427497108,WR,Jerry Jeudy,240.9,45,91,80
137,259,Jonnu Smith,90.90642096013364,TE,Jonnu Smith,222.3,54,83,205
138,160,Tre Tucker,90.7448822769978,WR,Tre Tucker,129.3,137,1,23
139,215,Noah Fant,89.83220784004885,TE,Noah Fant,104.0,179,40,36
140,161,Demarcus Robinson,87.68500300251245,WR,Demarcus Robinson,123.5,146,6,15
141,214,Keaton Mitchell,87.29238545693002,RB,Keaton Mitchell,6.8,452,311,238
142,107,Marquise Brown,86.62152381141851,WR,Marquise Brown,18.1,370,228,263
143,121,Zach Charbonnet,86.35773945865765,RB,Zach Charbonnet,186.9,84,59,37
144,212,Jamaal Williams,83.92772656054476,RB,Jamaal Williams,37.1,295,151,83
145,252,Jonathan Mingo,83.72315065999624,WR,Jonathan Mingo,32.2,320,175,68
146,113,J.K. Dobbins,82.51871343910591,RB,J.K. Dobbins,191.8,80,66,33
147,105,Zack Moss,82.02641257083414,RB,Zack Moss,81.9,213,66,108
148,129,Khalil Shakir,81.71452106965246,WR,Khalil Shakir,182.5,88,60,41
149,162,Jalin Hyatt,80.77792338919873,WR,Jalin Hyatt,14.2,396,247,234
150,135,Pat Freiermuth,80.60261210654983,TE,Pat Freiermuth,168.3,101,49,34
151,240,Justice Hill,80.22814840989986,RB,Justice Hill,127.1,139,12,101
152,165,Taysom Hill,79.98306082329793,TE,Taysom Hill,102.3,184,32,19
153,167,Hunter Henry,78.84065193792055,TE,Hunter Henry,145.4,117,36,50
154,211,Josh Reynolds,78.03681315104454,WR,Josh Reynolds,38.4,292,138,81
155,246,Roschon Johnson,76.8679684292863,RB,Roschon Johnson,77.4,221,66,25
156,264,Greg Dortch,75.31689136814308,WR,Greg Dortch,90.3,205,49,59
157,66,Zamir White,75.08999076381708,RB,Zamir White,29.3,330,173,264
158,148,Michael Wilson,75.02549951595026,WR,Michael Wilson,124.5,143,15,5
159,216,Cade Otton,74.63873983611742,TE,Cade Otton,140.6,121,38,95
160,209,Darius Slayton,73.59991668536584,WR,Darius Slayton,110.0,170,10,39
161,108,Mike Williams,73.01452318436833,WR,Mike Williams,56.8,257,96,149
162,213,Alexander Mattison,73.00540398610536,RB,Alexander Mattison,137.4,126,36,87
163,227,Odell Beckham Jr.,72.86559817219677,WR,Odell Beckham Jr.,14.5,392,229,165
164,223,Kenneth Gainwell,71.39412372647129,RB,Kenneth Gainwell,62.6,245,81,22
165,127,Darnell Mooney,70.63787019832995,WR,Darnell Mooney,193.2,79,86,48
166,166,Chigoziem Okonkwo,69.03625204874066,TE,Chigoziem Okonkwo,113.6,163,3,3
167,221,Kendre Miller,68.77236805719795,RB,Kendre Miller,29.1,331,164,110
168,196,Samaje Perine,68.69841846542091,RB,Samaje Perine,81.4,214,46,18
169,116,Jerome Ford,67.50792812352242,RB,Jerome Ford,134.0,130,39,14
170,123,Ty Chandler,67.40361207831585,RB,Ty Chandler,28.4,335,165,212
171,270,Gardner Minshew II,66.66568347401629,QB,Gardner Minshew II,96.3,192,21,78
172,153,Khalil Herbert,66.65492570149112,RB,Khalil Herbert,31.5,325,153,172
173,291,Colby Parkinson,65.814487500221,TE,Colby Parkinson,65.4,235,62,56
174,260,Dawson Knox,64.80442761087357,TE,Dawson Knox,59.1,251,77,9
175,258,Isaiah Likely,64.31043915794811,TE,Isaiah Likely,123.7,145,30,113
176,249,Cordarrelle Patterson,62.59415163000053,RB,Cordarrelle Patterson,37.5,294,118,45
177,272,Jauan Jennings,61.9470345917084,WR,Jauan Jennings,210.5,66,111,206
178,205,Rashod Bateman,57.83701905536776,WR,Rashod Bateman,174.6,98,80,107
179,262,Cedric Tillman,57.32409149612748,WR,Cedric Tillman,80.4,215,36,47
180,222,D'Onta Foreman,57.2652802206115,RB,D'Onta Foreman,32.6,318,138,96
181,275,Dyami Brown,57.03590579743024,WR,Dyami Brown,67.4,231,50,44
182,154,Jordan Mason,56.68927812776796,RB,Jordan Mason,115.0,162,20,8
183,292,Kylen Granson,56.47536321061889,TE,Kylen Granson,32.2,319,136,27
184,293,Mike Gesicki,55.302161530141,TE,Mike Gesicki,141.5,120,64,173
185,228,Zay Jones,53.63338147584092,WR,Zay Jones,16.4,378,193,150
186,206,Luke Musgrave,52.85044394662665,TE,Luke Musgrave,11.5,422,236,216
187,207,Tucker Kraft,51.7799382567926,TE,Tucker Kraft,163.3,105,82,102
188,193,Juwan Johnson,51.49510805967417,TE,Juwan Johnson,122.8,147,41,46
189,261,Van Jefferson,51.2874631984816,WR,Van Jefferson,63.6,242,53,19
190,226,Tank Bigsby,51.06147219314926,RB,Tank Bigsby,129.0,138,52,88
191,217,Hayden Hurst,50.49314206787158,TE,Hayden Hurst,15.3,386,195,169
192,274,Nelson Agholor,49.76688110580575,WR,Nelson Agholor,49.1,272,80,2
193,251,Emari Demercado,49.45789898101953,RB,Emari Demercado,54.7,263,70,12
